District,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Soil_Moisture,Electrical_Conductivity,Crop,Crop_Category,Yield_kg_per_acre
Kamareddy,Red,5.57,197.0,36.0,316.0,0.91,36.8,0.42,Sesame,Field,197.2
Khammam,Black,6.86,155.0,34.0,288.0,0.79,16.6,1.95,Rice,Field,3810.5
Nalgonda,Laterite,5.92,313.0,44.0,110.0,0.39,35.4,1.99,Paddy,Plantation,3687.7
Hyderabad,Alluvial,5.71,200.0,64.0,363.0,0.63,15.8,0.36,Turmeric,Cash,2049.4
Khammam,Red,6.53,227.0,78.0,132.0,0.62,30.1,2.29,Cotton,Plantation,1701.1
Warangal,Black,5.94,215.0,89.0,285.0,0.8,30.5,2.72,Paddy,Field,4534.4
Nalgonda,Alluvial,6.22,186.0,86.0,360.0,0.58,29.7,1.36,Castor,Field,529.2
Khammam,Laterite,7.52,223.0,61.0,196.0,1.2,14.1,1.66,Paddy,Field,3557.2
Karimnagar,Alluvial,7.11,215.0,62.0,230.0,0.53,26.6,3.02,Maize,Plantation,2874.5
Mahbubnagar,Laterite,5.8,224.0,52.0,385.0,1.09,17.9,1.68,Groundnut,Plantation,1182.9
Kamareddy,Laterite,7.77,236.0,34.0,200.0,0.45,38.6,2.96,Rice,Plantation,3270.8
Adilabad,Red,8.01,299.0,78.0,178.0,0.35,36.3,3.04,Cotton,Plantation,1435.7
Hyderabad,Black,5.85,231.0,58.0,165.0,1.09,22.7,0.8,Chilli,Plantation,1693.9
Jagtial,Laterite,6.58,264.0,46.0,368.0,0.71,17.4,0.35,Rice,Plantation,4089.5
Medak,Black,5.52,270.0,24.0,102.0,0.33,19.9,1.72,Red Gram,Plantation,364.9
Warangal,Black,7.45,300.0,60.0,158.0,0.73,22.2,0.44,Sesame,Cash,221.5
Rangareddy,Red,7.32,317.0,27.0,209.0,0.61,35.9,0.91,Sorghum,Plantation,1280.6
Nizamabad,Black,6.25,192.0,85.0,222.0,1.08,26.5,0.3,Chilli,Field,1931.9
Khammam,Black,6.6,232.0,81.0,369.0,0.45,10.1,1.34,Castor,Cash,478.1
Jagtial,Alluvial,5.92,200.0,88.0,265.0,0.79,32.4,0.32,Soybean,Plantation,909.6
Warangal,Black,5.65,236.0,80.0,102.0,0.36,35.9,1.38,Turmeric,Plantation,1812.1
Medak,Red,6.63,249.0,57.0,379.0,0.48,31.5,0.88,Bajra,Field,747.4
Mahbubnagar,Alluvial,6.35,278.0,25.0,227.0,1.2,39.9,0.37,Sorghum,Plantation,1268.2
Nalgonda,Red,7.87,213.0,31.0,347.0,0.93,28.4,3.16,Sunflower,Field,571.2
Warangal,Laterite,8.02,168.0,81.0,165.0,1.1,32.3,0.62,Green Gram,Plantation,287.8
Nalgonda,Black,7.36,295.0,55.0,160.0,1.12,11.5,2.08,Red Gram,Field,389.4
Karimnagar,Laterite,5.94,225.0,69.0,259.0,0.4,38.4,2.26,Sugarcane,Plantation,48983.1
Nalgonda,Black,6.66,157.0,46.0,379.0,1.17,11.2,1.24,Turmeric,Plantation,1742.2
Warangal,Alluvial,8.13,277.0,85.0,156.0,0.45,34.0,0.69,Sesame,Field,193.3
Nalgonda,Alluvial,7.67,297.0,77.0,165.0,1.01,13.2,2.81,Soybean,Field,730.6
Rangareddy,Laterite,6.32,285.0,36.0,88.0,0.47,19.8,2.79,Red Gram,Cash,416.0
Nizamabad,Laterite,8.04,170.0,88.0,137.0,1.17,18.0,0.48,Sesame,Cash,219.3
Nalgonda,Alluvial,7.14,237.0,47.0,265.0,0.53,31.3,0.16,Chilli,Plantation,1655.4
Jagtial,Black,6.48,162.0,66.0,186.0,0.58,35.4,2.35,Green Gram,Plantation,281.4
Nizamabad,Laterite,6.59,200.0,29.0,215.0,1.15,30.3,2.9,Green Gram,Cash,316.9
Adilabad,Laterite,6.27,223.0,61.0,290.0,0.72,23.3,0.8,Soybean,Plantation,783.4
Hyderabad,Laterite,6.89,258.0,43.0,342.0,0.98,30.2,0.84,Sorghum,Field,1318.8
Khammam,Alluvial,7.15,281.0,52.0,364.0,0.82,31.6,1.32,Bajra,Field,698.8
Jagtial,Red,7.91,296.0,82.0,329.0,0.5,34.1,2.27,Castor,Field,511.2
Hyderabad,Alluvial,5.86,229.0,57.0,259.0,0.59,32.7,1.5,Sunflower,Cash,569.5
Warangal,Alluvial,7.92,276.0,53.0,163.0,0.52,29.1,2.49,Sunflower,Cash,531.2
Mahbubnagar,Alluvial,5.71,199.0,39.0,182.0,0.79,14.2,0.86,Sugarcane,Plantation,48013.4
Nizamabad,Alluvial,6.39,229.0,24.0,347.0,0.65,33.1,3.04,Rice,Plantation,3941.4
Adilabad,Laterite,6.31,216.0,82.0,347.0,0.78,32.0,2.59,Turmeric,Cash,1968.3
Nizamabad,Alluvial,5.58,207.0,68.0,209.0,0.45,24.0,0.54,Chilli,Field,1644.4
Medak,Red,5.73,223.0,81.0,138.0,0.53,19.8,1.54,Black Gram,Cash,282.1
Nizamabad,Laterite,7.75,230.0,72.0,97.0,1.16,16.7,0.36,Paddy,Field,4136.6
Khammam,Red,7.18,191.0,53.0,117.0,1.15,24.0,0.93,Bengal Gram,Field,439.2
